,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,United States,USA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,49.520751692,40.15156989,40.192521186,40.924824232,41.827837865999996,42.147855320000005,42.78049246,43.839293044,44.200598052,44.837157049999995,89.96316823800001,75.96996483800001,79.017875668,76.295714606,77.37237793599999,84.02723014799999,79.69021066600001,80.01601752399999,82.234702302,84.612594852,97.38023376800001,99.00971223600001,101.851573172,101.447387708,101.315774532,100.19530792,100.6629547,100.91097564,89.469079612,94.39343219599999,100.88653626,100.57997956,99.54,100.60065582,100.67832458,99.99600000000001,99.99600000000001,99.99600000000001,99.99600000000001,99.99600000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.889050274,81.41757129999999
1,United States,USA,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,49.520751692,40.15156989,40.192521186,40.924824232,41.827837865999996,42.147855320000005,42.78049246,43.839293044,44.200598052,44.837157049999995,89.96316823800001,75.96996483800001,79.017875668,76.295714606,77.37237793599999,84.02723014799999,79.69021066600001,80.01601752399999,82.234702302,84.612594852,97.38023376800001,99.00971223600001,101.851573172,101.447387708,101.315774532,100.19530792,100.6629547,100.91097564,89.469079612,94.39343219599999,100.88653626,100.57997956,99.54,100.60065582,100.67832458,99.99600000000001,99.99600000000001,99.99600000000001,99.99600000000001,99.99600000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.889050274,81.41757129999999
2,United States,USA,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,49.520751692,40.15156989,40.192521186,40.924824232,41.827837865999996,42.147855320000005,42.78049246,43.839293044,44.200598052,44.837157049999995,89.96316823800001,75.96996483800001,79.017875668,76.295714606,77.37237793599999,84.02723014799999,79.69021066600001,80.01601752399999,82.234702302,84.612594852,97.38023376800001,99.00971223600001,101.851573172,101.447387708,101.315774532,100.19530792,100.6629547,100.91097564,89.469079612,94.39343219599999,100.88653626,100.57997956,99.54,100.60065582,100.67832458,99.99600000000001,99.99600000000001,99.99600000000001,99.99600000000001,99.99600000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.889050274,81.41757129999999
3,United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,84.41112275999998,78.65942066,79.038601394,80.068968318,80.653088024,80.78098651600001,81.27458665200001,81.893008848,82.622961254,82.495603928,89.96316823800001,79.736729838,90.65593155399999,80.65717500600002,82.194328078,92.79350975000001,83.68146427799999,84.363738378,91.75401465600001,92.27631708199999,98.19528689,100.01863607800001,102.27396296399999,102.232900516,102.19727941599999,101.45174391,101.854300836,102.04254443599999,98.075983694,98.2957378,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.889050274,81.41757129999999
4,United States,USA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.41112275999998,78.65942066,79.038601394,80.068968318,80.653088024,80.78098651600001,81.27458665200001,81.893008848,82.622961254,82.495603928,89.96316823800001,79.736729838,90.65593155399999,80.65717500600002,82.194328078,92.79350975000001,83.68146427799999,84.363738378,91.75401465600001,92.27631708199999,98.19528689,100.01863607800001,102.27396296399999,102.232900516,102.19727941599999,101.45174391,101.854300836,102.04254443599999,98.075983694,98.2957378,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.889050274,81.41757129999999
5,United States,USA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,84.41112275999998,78.65942066,79.038601394,80.068968318,80.653088024,80.78098651600001,81.27458665200001,81.893008848,82.622961254,82.495603928,89.96316823800001,79.736729838,90.65593155399999,80.65717500600002,82.194328078,92.79350975000001,83.68146427799999,84.363738378,91.75401465600001,92.27631708199999,98.19528689,100.01863607800001,102.27396296399999,102.232900516,102.19727941599999,101.45174391,101.854300836,102.04254443599999,98.075983694,98.2957378,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.889050274,81.41757129999999
6,United States,USA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,57.66432275999999,59.699618006,59.783903834,60.57588772800001,60.603643579999996,52.175186516,62.300662274000004,63.52608944599999,63.95757748399999,64.592558314,63.753277356,71.32871293600002,78.62074702800001,72.376495794,79.21556287799999,83.16132086000002,80.683920992,81.978550194,82.30577448599999,85.10872564799999,92.0131485,94.389341734,91.51172338800001,87.90671576000001,91.12733062800001,90.93004431,90.043605896,87.16337555,84.420889734,85.19462525,86.53818853800001,87.400997278,86.22461612,73.09640227,79.22645473600001,84.36355314400001,87.82968367599999,88.326616644,89.32658033999999,89.747304508,90.06439035,90.00118666200001,89.928042428,91.096715578,90.693566996,91.411810094,90.789646982,91.44128077799999,91.329304534,90.466644246,90.63828568800001,87.96,90.686167506,90.906521918,93.58,91.828945178,91.83507836199999,93.12,91.32193756199999,91.132034302,90.49417938399999,94.95,92.78190946800001,81.41757129999999
7,United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,55.674657088000004,63.040148016,63.24887596,64.32973994400001,64.41335486599999,52.175186516,65.06849830800002,66.64513562,66.84056655999998,66.271272602,57.618910156000005,71.972650986,80.197207394,73.12624213199999,73.47362567799999,83.16132086,75.849034192,77.47751559399998,83.252272096,85.10872564799999,85.212747742,90.09838861,92.109429992,88.083505616,91.372870484,90.94895758,90.103363892,87.329487306,79.580089934,81.49082525000001,89.068269714,91.9488235,84.33061611999999,78.59385691,83.72497554600001,87.82932903,90.48591166,86.718132282,91.95530717599999,88.356868948,88.60223761,88.01131376200001,87.23330413400001,89.010696412,89.40384834599999,89.30743448,89.420338456,90.95791675,90.05567484000001,89.227105764,88.970773724,84.07,89.19650758200001,89.756634584,94.8,90.973651428,92.467215064,92.69,89.75311584599999,91.040316772,89.71147156,96.79,92.596624906,81.41757129999999
8,United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,57.66432275999999,59.699618006,59.783903834,60.575887728,60.603643579999996,52.175186516,62.300662274000004,63.526089446000015,63.95757748399999,64.592558314,77.287893676,71.328712936,82.77246983199998,72.37649579400001,70.06068159200001,88.75169617999998,72.930532778,73.956492088,80.417924298,90.30576364199999,92.0131485,94.389341734,84.436738034,84.93633899,85.158777182,85.07052377,85.688763288,83.43779675199998,87.029917078,86.167647222,88.918366926,87.400997278,86.22461612,73.09640227,80.252250734,84.36355314400001,89.752481132,88.326616644,91.06945817599998,89.747304508,91.647976806,90.00118666200001,91.02200646600001,91.911183228,91.932307536,93.520225698,92.62555549,92.04251861799999,92.52480014,91.030541952,92.45282088200001,91.98,92.38901805,92.38427213,92.36,93.58558063400001,94.20029380800001,93.57,92.45634613,92.14244529800001,91.98255669599999,93.09,92.78190946800001,81.41757129999999
9,United States,USA,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,46.808139536,60.72382066,60.758001394000004,61.757568318,62.28408802399999,52.175186516,63.547786652,64.894208848,65.224561254,65.604803928,77.287893676,71.972650986,80.197207394,73.12624213199999,73.47362567799999,83.16132086000002,75.849034192,77.47751559399998,83.252272096,85.10872564799999,92.0131485,94.389341734,97.695429992,97.49950561600001,97.882870484,96.40495758,96.957363892,94.19948730600001,88.302169134,90.5502353,92.31501464800002,89.331430082,88.11519605999999,74.811895838,81.343975932,87.508372504,90.94187011599999,91.592979466,92.50427259599999,92.795603958,92.62382980800001,92.44735104600001,92.28548270799999,93.812042332,93.305163596,94.07810972399999,93.630287226,93.915352018,94.08426506999999,93.69979544200001,93.53529094800001,90.7,93.28637604999999,93.36595996999999,94.84,94.08892597,94.85622811800002,94.21,94.56070704999999,93.05199720200001,94.81382749400001,95.14,93.779281606,81.41757129999999
